tweet,Topic_0,Topic_1,Topic_2,Dominant_Topic,Perc_Dominant_Topic
register last class kid get tomorrow thing want long happen right know put hand,0.028570212423801422,0.9434900283813477,0.02793978527188301,Topic 1,0.94
utterly explode circuit stop mandate cheering win,0.04475947469472885,0.042553190141916275,0.9126873016357422,Topic 2,0.91
add also cut child poverty half organize mass campaign save life improve quality life large number population,0.020189005881547928,0.01927271857857704,0.9605382680892944,Topic 2,0.96
cold symptom test positive last course quarantine age worry sound much better thank goodness,0.025244630873203278,0.3715716004371643,0.6031838059425354,Topic 2,0.6
right arm feel punch bit fever,0.18935833871364594,0.057713497430086136,0.7529281377792358,Topic 2,0.75
book birthday good birthday present ever,0.05720053240656853,0.06308039277791977,0.879719078540802,Topic 2,0.88
time child approval first get protection may question late party timing make sense audience foot costume,0.02228745073080063,0.024024896323680878,0.9536877274513245,Topic 2,0.95
court suspend mandate business,0.861353874206543,0.06752733141183853,0.07111881673336029,Topic 0,0.86
take twitter temporarily halt mandate large business,0.9120684862136841,0.04310307279229164,0.04482843726873398,Topic 0,0.91
translation immunized truth lie,0.8588810563087463,0.07204677164554596,0.0690721720457077,Topic 0,0.86
temporarily mandate,0.7720180153846741,0.11336234956979752,0.11461962014436722,Topic 0,0.77
care science science say natural_immunity last long keep get keep spread apparently deathly afraid,0.024080529808998108,0.9525573253631592,0.023362137377262115,Topic 1,0.95
right ensure level high possible opening infection tell bad flu,0.6458415389060974,0.0383620485663414,0.3157963752746582,Topic 0,0.65
people die heart issue tell datum come show work datum show risk,0.6231043338775635,0.3474079668521881,0.029487716034054756,Topic 0,0.62
utterly explode circuit stop mandate cheering win,0.04474771022796631,0.04255317524075508,0.9126991033554077,Topic 2,0.91
really consider integrity lack lie put love risk get lie dangerous implication drop,0.938588559627533,0.03220202401280403,0.029209403321146965,Topic 0,0.94
much frequent severe infected require follow sign risk matter small high standard keep treatment safe take,0.16381926834583282,0.022634357213974,0.813546359539032,Topic 2,0.81
cite single say give bad info evi rampant pro inane selection support belief crowd repeatedly,0.9096654653549194,0.06922230869531631,0.021112268790602684,Topic 0,0.91
evidence suggest reduce likelihood catch merely lessen symptom,0.04203305020928383,0.6374648809432983,0.32050204277038574,Topic 1,0.64
lie people infect death half occur release shoot,0.0561910979449749,0.8952711820602417,0.0485377162694931,Topic 1,0.9
terribly sick care mild better,0.07005158066749573,0.23420311510562897,0.6957453489303589,Topic 2,0.7
launch new verification app proof status yet prime example leave behind dark app go make applicable make feel angry,0.9581088423728943,0.023811032995581627,0.01808014139533043,Topic 0,0.96
child die death allergy happen rare fatal viral infection,0.36733192205429077,0.03475616127252579,0.5979119539260864,Topic 2,0.6
let effectiveness speak get truly good say prevent become severe personally believe people notice know,0.24843941628932953,0.5126913189888,0.23886923491954803,Topic 1,0.51
scheduling run interesting testing case exposure track ton work happen public private health world include app anchor health program cha,0.8118245601654053,0.018877943977713585,0.1692975014448166,Topic 0,0.81
work would threaten people job force take last year take last year flu shot science desperate make take,0.02060486562550068,0.9573843479156494,0.022010721266269684,Topic 1,0.96
think side_effect get outway side_effect get,0.052176300436258316,0.8982724547386169,0.049551285803318024,Topic 1,0.9
lie money grub big pharma death report vaccinate child good reason attempt murder,0.028449809178709984,0.028989985585212708,0.9425601959228516,Topic 2,0.94
get mail want say still trialle employer decide employee need job,0.031148672103881836,0.93364417552948,0.0352071076631546,Topic 1,0.93
good friend work essential employee entirety pandemic move parent test positive move rate mask social distance,0.022787058725953102,0.021827779710292816,0.9553852081298828,Topic 2,0.96
single doctor entire world agreement single human get,0.9155994653701782,0.04270172491669655,0.04169876128435135,Topic 0,0.92
complain bad symptom get test would never know head cold symptom work friend,0.025908194482326508,0.7987508773803711,0.1753409206867218,Topic 1,0.8
stock market record high republican success unprecedented rollout stymie trump anti vaxer economic relief finally truly infrastructure week think,0.9655503630638123,0.017319414764642715,0.01713024079799652,Topic 0,0.97
alive,0.1698281615972519,0.6607775092124939,0.16939431428909302,Topic 1,0.66
protect child,0.20813772082328796,0.1201830506324768,0.6716791987419128,Topic 2,0.67
good know currently want require,0.05768292024731636,0.39679592847824097,0.5455211400985718,Topic 2,0.55
comment team mate family get sick sue brainwashed,0.6124169230461121,0.34182971715927124,0.04575338214635849,Topic 0,0.61
canonically year_old tweet get approve age group conservative furious,0.03454465791583061,0.034836526960134506,0.9306187629699707,Topic 2,0.93
hear recommend age amp old get help protect learn,0.035915594547986984,0.3921680152416229,0.571916401386261,Topic 2,0.57
check require many hospital long time hospital healthcare facility require,0.03152311220765114,0.03289107605814934,0.9355857968330383,Topic 2,0.94
may doctor crisis write open letter warning seeing time usual rate myocarditis heart muscle inflammation young age group day,0.01815824583172798,0.017319660633802414,0.964522123336792,Topic 2,0.96
new status job search,0.06937903165817261,0.8630133867263794,0.06760761141777039,Topic 1,0.86
tax discount pay additional pressure financial pressure health system refuse pandemic obviously include exempt health reason,0.9553428292274475,0.02225787378847599,0.022399358451366425,Topic 0,0.96
issue roll booster problem start never stop coincidence guess,0.03786196932196617,0.10289928317070007,0.8592388033866882,Topic 2,0.86
unload lie fake greedy know pretentious man remember people forget,0.036696866154670715,0.9311646223068237,0.03213854879140854,Topic 1,0.93
even fast warp speed son,0.6735683083534241,0.2699534296989441,0.05647831782698631,Topic 0,0.67
could block effectively,0.8311699628829956,0.08534592390060425,0.08348411321640015,Topic 0,0.83
take real,0.7507078051567078,0.11984842270612717,0.12944376468658447,Topic 0,0.75
side encourage get vac throw fit year go,0.5325202345848083,0.42878061532974243,0.03869912773370743,Topic 0,0.53
really disappoint stance aaron_rodger take kid look athlete endorse bad example bad enough take,0.945692241191864,0.03086361289024353,0.023444119840860367,Topic 0,0.95
work age asthma flare asthma never catch asthma many veteran hospitalize,0.028777161613106728,0.0302396509796381,0.940983235836029,Topic 2,0.94
many people die update source org science death source,0.036879897117614746,0.4902542531490326,0.47286590933799744,Topic 1,0.49
good luck could call,0.2899554371833801,0.07464702427387238,0.6353975534439087,Topic 2,0.64
mandate child,0.1968231350183487,0.11826490610837936,0.6849119663238525,Topic 2,0.68
end live life issue new therapeutic coming pill form efficacy,0.23973673582077026,0.04007517918944359,0.7201880812644958,Topic 2,0.72
frustrated people criticize biden end pandemic quick often oppose mandate think pandemic end magic,0.9526758790016174,0.023757118731737137,0.02356697805225849,Topic 0,0.95
use child year age,0.2806834578514099,0.07432016730308533,0.6449964046478271,Topic 2,0.64
start time datum prior approval go receive,0.044880714267492294,0.45442187786102295,0.5006974339485168,Topic 2,0.5
never argue really young shape people far radical irresponsible stance full disclosure vaccin,0.8243129849433899,0.02850264310836792,0.14718438684940338,Topic 0,0.82
pull oven take bite feel evil government microchip disguise hit tooth,0.7443177700042725,0.06487736850976944,0.19080491364002228,Topic 0,0.74
testified magnetize people,0.08618199825286865,0.8284554481506348,0.08536257594823837,Topic 1,0.83
kill worldwide approval mean get seem,0.07301004230976105,0.23685699701309204,0.6901329159736633,Topic 2,0.69
first obviously follow need dig deeply animal human particular,0.7442261576652527,0.03840547800064087,0.21736840903759003,Topic 0,0.74
say get ever scary nowhere roleplay say scary,0.03871902823448181,0.9233631491661072,0.037917766720056534,Topic 1,0.92
murder day responsible death sake transparency amp understanding figure death day also publish,0.026266366243362427,0.024781974032521248,0.9489516615867615,Topic 2,0.95
statement stand aaron_rodger,0.8251528739929199,0.08561614900827408,0.0892309620976448,Topic 0,0.83
nowadays get immediately make healthy,0.8690842390060425,0.07058344781398773,0.06033225357532501,Topic 0,0.87
use childhood equal measle health concern child intellectually dishonest ignorant determine corr,0.12812434136867523,0.8343135118484497,0.03756214305758476,Topic 1,0.83
fact graph compare scottish hospitalisation death status lack key information reuter,0.9349262118339539,0.036370713263750076,0.028703080490231514,Topic 0,0.93
injury amp death,0.10302264988422394,0.7919619679450989,0.10501538962125778,Topic 1,0.79
doctor injure shoot go public urge risk,0.04581030085682869,0.8967364430427551,0.05745328217744827,Topic 1,0.9
get efficacy large bird aside famous entertainer use clout line respect,0.029294481500983238,0.6993928551673889,0.2713127136230469,Topic 1,0.7
love subtle school vaxe email note strict cut date acceptance vaccination amp due care take would child due care fab,0.9590100646018982,0.019000407308340073,0.021989528089761734,Topic 0,0.96
death compare attribute know many people die respiratory illness many hospitalize increase severity,0.027160681784152985,0.6620270609855652,0.3108122646808624,Topic 1,0.66
share bizarre receive say straight face naw want experimental ill keep get drug time freak serious,0.5078073143959045,0.2611018419265747,0.23109082877635956,Topic 0,0.51
,0.3333333432674408,0.3333333432674408,0.3333333432674408,Topic 0,0.33
,0.3333333432674408,0.3333333432674408,0.3333333432674408,Topic 0,0.33
,0.3333333432674408,0.3333333432674408,0.3333333432674408,Topic 0,0.33
scientist testify panel ask approve kid,0.049646541476249695,0.8966730833053589,0.05368037894368172,Topic 1,0.9
frankly get fully eligible member family still could sick amp die,0.3853342533111572,0.04803391546010971,0.5666317939758301,Topic 2,0.57
hold maskless superspreader event hour testing positive take shoot shoot monoclonal antibody treatment make mask mandate illegal teacher get sick quarantine pay,0.016402989625930786,0.3610084652900696,0.6225885152816772,Topic 2,0.62
apparently source say kill reason openly attack idiot say tho friend imma kill family,0.1523817926645279,0.319303423166275,0.5283147692680359,Topic 2,0.53
promoting get today write morning wing little sore give body extra protective boost keep healthy,0.9523950815200806,0.022486109286546707,0.025118814781308174,Topic 0,0.95
stop get believe good luck perhaps child symptom mine,0.037010401487350464,0.32582175731658936,0.6371678113937378,Topic 2,0.64
create historically fast timeline fast track approval clinical trial complete previously use human prevent provide immunity adverse include death,0.7799899578094482,0.1635812371969223,0.056428827345371246,Topic 0,0.78
set meet tomorrow,0.08556617796421051,0.8307353854179382,0.08369845896959305,Topic 1,0.83
know right protein killer stop get infect,0.044961001724004745,0.9038022756576538,0.05123674497008324,Topic 1,0.9
need minute child first calm get sit wait stop get time close refuse rush regardless shit,0.35309648513793945,0.21249574422836304,0.4344077408313751,Topic 2,0.43
remember watch reference variant random mutation cle unwilling unvaccinated host infect kill people prior know genuinely lose,0.02120204083621502,0.9573118686676025,0.021486109122633934,Topic 1,0.96
available pharmacy,0.13765770196914673,0.7143079042434692,0.14803436398506165,Topic 1,0.71
assert still face grave danger virus,0.8873502016067505,0.05610169842839241,0.056548118591308594,Topic 0,0.89
break rule must avoid cost cancel universal,0.9139047861099243,0.043908387422561646,0.04218681901693344,Topic 0,0.91
suppose consistent take time think figured,0.30957019329071045,0.05863618478178978,0.6317936778068542,Topic 2,0.63
halt biden testing mandate business,0.8842113018035889,0.05777733027935028,0.05801134929060936,Topic 0,0.88
else hear term extremely rare coincidence mention time term effective,0.031746651977300644,0.0426739826798439,0.9255793690681458,Topic 2,0.93
offer primary age child happen last flu year year age child,0.31872859597206116,0.03165387734770775,0.6496174931526184,Topic 2,0.65
information wrong science say offer strong immune response also maybe pay attention healthy people die,0.6970682144165039,0.2783397138118744,0.024592075496912003,Topic 0,0.7
point person ask form work come still spread automatically declare idiot question suppose long one,0.022137952968478203,0.023327374830842018,0.9545347094535828,Topic 2,0.95
take support publish research egg,0.8847917318344116,0.05766303464770317,0.057545218616724014,Topic 0,0.88
good line return mighty duck due disney mandate daily mail online,0.11921115964651108,0.0294543094933033,0.8513345718383789,Topic 2,0.85
look around say policy mask sanitise social distancing disagree tell death health worker need disability,0.4143959581851959,0.558342695236206,0.027261385694146156,Topic 1,0.56
student die shoot get suffer arrest day later slip coma die,0.029516087844967842,0.658894956111908,0.31158897280693054,Topic 1,0.66
make sense people die administration last one even,0.9110859632492065,0.049038536846637726,0.03987553343176842,Topic 0,0.91
way say get pay dollar guess anti vaxer shame grandmother die around,0.03148028627038002,0.9388682842254639,0.02965140901505947,Topic 1,0.94
much safe get prevent disease put risk hospitalization death long run effect,0.027571603655815125,0.03763590008020401,0.9347924590110779,Topic 2,0.93
implement week attack mandate,0.8618408441543579,0.07039280980825424,0.06776638329029083,Topic 0,0.86
card add apple wallet,0.8512245416641235,0.07528115808963776,0.07349424064159393,Topic 0,0.85
strange exactly news keep say news fund big pharma create free know hospitalize recently fully,0.026636900380253792,0.9483739733695984,0.024989165365695953,Topic 1,0.95
young decline photograph receive first dose bad,0.04778478294610977,0.04461783543229103,0.9075973629951477,Topic 2,0.91
healthy risk risk mask useless kid actually harmful believe doctor,0.4524524509906769,0.03703378513455391,0.5105137825012207,Topic 2,0.51
appear full come find shocker fact check false misleading claim,0.7855678796768188,0.17666859924793243,0.037763550877571106,Topic 0,0.79
step aside medical training whatsoever administer farm animal dewormer child get instead approve take,0.3476569950580597,0.6224554777145386,0.029887568205595016,Topic 1,0.62
much high listent poopy head amp keep good job get kid,0.034174639731645584,0.4230636954307556,0.5427616834640503,Topic 2,0.54
basic model usedvefore adapt trial country really look meanin,0.9224403500556946,0.03775789216160774,0.03980180248618126,Topic 0,0.92
sound think medical advice size fit scenario doctor advise take,0.9364878535270691,0.03226754814386368,0.031244609504938126,Topic 0,0.94
hope guy would provide constructive feedback short story write get contract fine end,0.909882664680481,0.061840370297431946,0.02827700786292553,Topic 0,0.91
injure datum exclude report late case panic,0.04400576278567314,0.7900108695030212,0.1659833788871765,Topic 1,0.79
fifth year_old registered wait approval,0.7408069968223572,0.06069565191864967,0.19849732518196106,Topic 0,0.74
also type gene therapy difficult good day sweetie,0.03852218762040138,0.039902228862047195,0.9215756058692932,Topic 2,0.92
pfizer trial compromise,0.8206580877304077,0.08354419469833374,0.09579777717590332,Topic 0,0.82
verify death find bit interesting verify death death literally bottle risk politic,0.027824880555272102,0.0279422365128994,0.9442328810691833,Topic 2,0.94
antibody talk,0.11282037198543549,0.7669777870178223,0.12020186334848404,Topic 1,0.77
deputy recover change mind,0.06818836182355881,0.8644484877586365,0.06736316531896591,Topic 1,0.86
delusional work current meet definition weaken time,0.04676569998264313,0.9099435210227966,0.04329078271985054,Topic 1,0.91
situation hold refuse,0.12045559287071228,0.08412902802228928,0.7954154014587402,Topic 2,0.8
correlation immunity entirely different virus working expect,0.05140015110373497,0.9051002860069275,0.04349954053759575,Topic 1,0.91
feel way well brave sure,0.47409188747406006,0.07928768545389175,0.4466204047203064,Topic 0,0.47
student age eligible pfizer resource would like information visit children information,0.029475029557943344,0.029184402897953987,0.9413406252861023,Topic 2,0.94
short term datum bear contagious people contract transmit virus rate however people spread new strain virus virulent,0.019943151623010635,0.9576166272163391,0.022440221160650253,Topic 1,0.96
humankind contend also contend cope world pandemic corruption run rife government corporation,0.030897485092282295,0.03300139307975769,0.9361010789871216,Topic 2,0.94
remember roughly catch survive,0.07986944168806076,0.1262226700782776,0.7939079403877258,Topic 2,0.79
dangerous,0.6532965302467346,0.16676710546016693,0.17993631958961487,Topic 0,0.65
break rule must avoid cost cancel universal good news,0.9279823303222656,0.03676598146557808,0.03525164723396301,Topic 0,0.93
boost,0.6657646894454956,0.1671185940504074,0.1671167016029358,Topic 0,0.67
death relate child rush test year prior release kid elderly pre exist condition obviou,0.14187908172607422,0.6660318374633789,0.1920890361070633,Topic 1,0.67
fallacious argument still catch spread say however rate catching spread get go,0.0278511680662632,0.04029083997011185,0.9318579435348511,Topic 2,0.93
listen winter come try rule wear mask test take pas,0.31990349292755127,0.03787286579608917,0.6422236561775208,Topic 2,0.64
many people lose fictional character get,0.04898544028401375,0.8989689350128174,0.052045609802007675,Topic 1,0.9
good hmmm let see work work also sign form refuse medical treatment stem infection deal,0.023507004603743553,0.023763615638017654,0.9527294039726257,Topic 2,0.95
problem government get involve healthcare know people issue testing requirement anti viral app,0.24801327288150787,0.7241531014442444,0.027833640575408936,Topic 1,0.72
call concept believe stupid happen,0.6249648928642273,0.06600849330425262,0.3090265989303589,Topic 0,0.62
sick advise doctor right want disregard doctor protect actually think may people,0.7408726811408997,0.22993847727775574,0.02918887324631214,Topic 0,0.74
dog get shoot decade new,0.0605207197368145,0.8765087127685547,0.0629706084728241,Topic 1,0.88
ever serious supply chain problem virus number go worker shortage mandate hurt distribution good,0.026064855977892876,0.9489467144012451,0.02498844638466835,Topic 1,0.95
minute feel could human crush designate space queue outside check food vendor walk vendor recipe chaos,0.9587627053260803,0.020190268754959106,0.0210470799356699,Topic 0,0.96
injurue report vear,0.7692970633506775,0.08438067138195038,0.14632222056388855,Topic 0,0.77
thing appointment maker make form outdated right confusing,0.04216780140995979,0.9183217883110046,0.03951042518019676,Topic 1,0.92
fuck people act precedence mandate prior ever exist complete,0.3004316985607147,0.6647469997406006,0.034821365028619766,Topic 1,0.66
child programming,0.11440128833055496,0.4032622277736664,0.48233652114868164,Topic 2,0.48
remember catch virus affect also around particularly share position ge,0.7317945957183838,0.036306072026491165,0.23189935088157654,Topic 0,0.73
process different generally limit compare,0.08396899700164795,0.84654700756073,0.06948398798704147,Topic 1,0.85
kid bird alike get,0.0685712993144989,0.8604028224945068,0.07102587074041367,Topic 1,0.86
forget get bad boy waiting room interested,0.05052190646529198,0.9068053960800171,0.042672716081142426,Topic 1,0.91
risk severe illness hospitalization death far high risk even healthy people close,0.3489205539226532,0.03660544753074646,0.6144739985466003,Topic 2,0.61
scientist testify panel ask approve,0.05780019611120224,0.880330502986908,0.061869338154792786,Topic 1,0.88
really get conspiracy theory know infection mask,0.04400046542286873,0.054671648889780045,0.9013278484344482,Topic 2,0.9
child age thus flip side record death result update,0.3113144338130951,0.1318650245666504,0.5568205714225769,Topic 2,0.56
apparently ode people anti people could start rumor kill ppl take,0.5852809548377991,0.3830200433731079,0.03169896453619003,Topic 0,0.59
start today select group high risk individual book booster dose appointment portal call provincial contact centre eligible individual also book directly select clinic,0.2587975561618805,0.014482265338301659,0.7267202138900757,Topic 2,0.73
mean know side_effect drug inject body,0.540486752986908,0.4081001877784729,0.05141311138868332,Topic 0,0.54
seriously take medical advice think smarter aaron_rodger give wild anti interview catch,0.943385124206543,0.0291441660374403,0.027470724657177925,Topic 0,0.94
lot also stand criticism disadvantaged people clinic inconvenient place option proper,0.8924620747566223,0.02959943749010563,0.0779384896159172,Topic 0,0.89
let straight death many want see multiple death get,0.03666695952415466,0.04523075371980667,0.9181023240089417,Topic 2,0.92
,0.3333333432674408,0.3333333432674408,0.3333333432674408,Topic 0,0.33
exciting permission family share student receive today mom tell want wear shirt special event,0.02455100603401661,0.25275754928588867,0.7226914167404175,Topic 2,0.72
usual woman always support woman man always wrong woman always right look story friend break soon husband find impotent,0.9536272287368774,0.0189073383808136,0.027465498074889183,Topic 0,0.95
case hospitalization death circulate forever expose well help exposure occur,0.4538349211215973,0.35003313422203064,0.19613194465637207,Topic 0,0.45
bit perplexed write stupid really get seriously ask help protect still spread,0.13223418593406677,0.2623354494571686,0.6054303646087646,Topic 2,0.61
finally get appointment little,0.8184828758239746,0.08842659741640091,0.09309058636426926,Topic 0,0.82
puppet get get really sick,0.06808413565158844,0.5799089074134827,0.3520069420337677,Topic 1,0.58
dispute target former football coach mandate public employee,0.9158968329429626,0.04078851267695427,0.04331464320421219,Topic 0,0.92
read court order halt mandate private employer,0.9152771234512329,0.042490147054195404,0.042232707142829895,Topic 0,0.92
know people fall category get available die get still get wait category people die get,0.022190207615494728,0.9550893902778625,0.022720424458384514,Topic 1,0.96
get politic comply government fact support mandate get want fully aware possible survive,0.030312858521938324,0.9438303709030151,0.0258567463606596,Topic 1,0.94
bad contract major manufacturer,0.10450852662324905,0.08423849940299988,0.8112529516220093,Topic 2,0.81
question state get week appointment go also scottish status app unable booster sign,0.8196533918380737,0.029065672308206558,0.15128090977668762,Topic 0,0.82
give already mutate variant,0.6146917343139648,0.06838615238666534,0.3169220983982086,Topic 0,0.61
care get rate would make related coverage available free charge instead look monetise pandemic cool,0.02430214174091816,0.9524322152137756,0.02326565608382225,Topic 1,0.95
ask well lie reason country worry bully great job bully ppl news flash stay forever flu,0.4765654504299164,0.24561429023742676,0.27782025933265686,Topic 0,0.48
deadly depopulation agenda cover,0.06871200352907181,0.8643088936805725,0.06697911769151688,Topic 1,0.86
comment,0.1761242151260376,0.2083473652601242,0.615528404712677,Topic 2,0.62
big bad researcher blow whistle integrity issue pfizer trial revelation poor practice contract research company,0.7897073030471802,0.0220089852809906,0.1882837563753128,Topic 0,0.79
offer incentive kid age get,0.06479480862617493,0.35325008630752563,0.5819551348686218,Topic 2,0.58
get first case last summer long first second bout think get thought wait get first,0.024539165198802948,0.6802855134010315,0.29517534375190735,Topic 1,0.68
uncomfortable ready cry imagine horror inflict human body especially underlying condition,0.22942529618740082,0.0892900601029396,0.6812846660614014,Topic 2,0.68
confirm appointment pharmacist tell line give busy poor planning system suck,0.37382403016090393,0.029437284916639328,0.5967386960983276,Topic 2,0.6
break prior definition allow people claim,0.05040908232331276,0.9015519618988037,0.04803900420665741,Topic 1,0.9
party big favor stop talk mask make sense thing know,0.03734331950545311,0.20624247193336487,0.7564142346382141,Topic 2,0.76
risk talk risk talk benefit rational question benefit outweigh risk evidence say,0.03026769310235977,0.036216624081134796,0.9335156679153442,Topic 2,0.93
imagine think get dangerous play professional football,0.6485304832458496,0.3066386282444,0.04483084753155708,Topic 0,0.65
take approve take lie make sense comment,0.050802115350961685,0.9032253623008728,0.045972563326358795,Topic 1,0.9
grateful get appointment today drive hour get start finish process take minute post wait,0.027622386813163757,0.9458733797073364,0.026504231616854668,Topic 1,0.95
week coach tell get happy make really happy,0.043826624751091,0.9162871241569519,0.03988626226782799,Topic 1,0.92
available late grandma country allow heart condition end get son husband currently life support amp make past tonight,0.02124052122235298,0.6377353668212891,0.34102413058280945,Topic 1,0.64
mask work stay home sick risk severe start treat flu,0.03466068208217621,0.03202488273382187,0.9333144426345825,Topic 2,0.93
keep die plenty good enough,0.06466047465801239,0.8740596175193787,0.061279892921447754,Topic 1,0.87
maybe unvaccinate non employee happen nazi hospital want many ontario hospital instituting absence mail,0.02384655550122261,0.02749621868133545,0.948657214641571,Topic 2,0.95
screaming exist damn,0.7968732118606567,0.11209015548229218,0.0910365954041481,Topic 0,0.8
question work instead people get still efficient case question government recommend take responsibility,0.02648443728685379,0.8450181484222412,0.12849737703800201,Topic 1,0.85
study month,0.12485702335834503,0.12970826029777527,0.7454347014427185,Topic 2,0.75
former network,0.4412834048271179,0.44655120372772217,0.1121654361486435,Topic 1,0.45
blame shoot scare people resist helpful promote feed anyway,0.0340612418949604,0.9256948828697205,0.040243878960609436,Topic 1,0.93
choice choice freedom freewill pill need mandate,0.5450078248977661,0.40720266103744507,0.047789499163627625,Topic 0,0.55
back mia damn month allergic reaction feel good back create content,0.11568580567836761,0.031308870762586594,0.8530053496360779,Topic 2,0.85
book immortality far behind,0.07185954600572586,0.8235796689987183,0.10456082224845886,Topic 1,0.82
perfectly healthy contract suffered month amp die type death well underlie problem highly,0.2494249939918518,0.02972562052309513,0.7208493947982788,Topic 2,0.72
doubt reaction wonder underlie issue long post adverse reaction still rare clearly help sorry struggle wishing,0.02042366750538349,0.6820046305656433,0.29757174849510193,Topic 1,0.68
study concluding recover people may harmed take recover,0.04133061319589615,0.7292079329490662,0.2294614613056183,Topic 1,0.73
accord vaer report death state death death combine last year percent,0.9392000436782837,0.029493778944015503,0.03130617365241051,Topic 0,0.94
whole extended family sweden get rollout include mother hope work start upset,0.8162944912910461,0.029183099046349525,0.15452241897583008,Topic 0,0.82
